spectrum_SAR5_ADC_testbench_non_ideal_SIN_FFT.vout X,spectrum_SAR5_ADC_testbench_non_ideal_SIN_FFT.vout Y
879151.5489813013,-79.22189854359785
893106.3354730679,-73.20129863031998
907061.1219648346,-79.22189854360207
921015.9084566013,-362.7392228665894
934970.694948368,-76.87035712907965
948925.4814401347,-70.84975721580004
962880.2679319014,-76.87035712907948
976835.0544236681,-379.6709540946537
990789.8409154348,-77.3279147731363
1004744.627407201,-71.30731485985663
1018699.413898968,-77.32791477313592
1032654.200390735,-357.5389502253822
1046608.986882502,-73.57870484900229
1060563.773374268,-67.55810493572275
1074518.559866035,-73.57870484900232
1088473.346357801,-360.1846576066087
1102428.132849568,-74.80681502143869
1116382.919341334,-68.78621510815901
1130337.705833101,-74.8068150214383
1144292.492324868,-355.7423674580434
1158247.278816634,-70.36334282559126
1172202.065308401,-64.34274291231149
1186156.851800167,-70.36334282559109
1200111.638291934,-359.4294593582606
1214066.4247837,-96.68545473985483
1228021.211275467,-90.66485482657433
1241975.997767234,-96.68545473985753
1255930.784259,-355.1935523453999
1269885.570750767,-73.96981918752392
1283840.357242533,-67.94921927424413
1297795.1437343,-73.96981918752367
1311749.930226066,-358.7327077083606
1325704.716717833,-73.43056154342226
1339659.5032096,-67.40996163014236
1353614.289701366,-73.43056154342145
1367569.076193133,-353.7459893103107
1381523.862684899,-24.54853679877368
1395478.649176666,-18.52793688549406
1409433.435668432,-24.54853679877369
1423388.222160199,-356.186306398464
1437343.008651966,-75.53611921659513
1451297.795143732,-69.51551930331584
1465252.581635499,-75.53611921659494
1479207.368127265,-362.9170148930262
1493162.154619032,-77.12135055988637
1507116.941110798,-71.10075064660649
1521071.727602565,-77.12135055988597
1535026.514094332,-356.9296744867246
1548981.300586098,-84.41468832910283
1562936.087077865,-78.39408841582309
1576890.873569631,-84.41468832910202
1590845.660061398,-358.2267166035125
1604800.446553164,-70.51497540317196
1618755.233044931,-64.49437548989226
1632710.019536698,-70.5149754031719
1646664.806028464,-363.6861013398095
1660619.592520231,-76.35568158584621
1674574.379011997,-70.33508167256669
1688529.165503764,-76.35568158584616
1702483.95199553,-375.0752034680266
1716438.738487297,-76.42310270354619
1730393.524979064,-70.40250279026669
1744348.31147083,-76.42310270354629
1758303.097962597,-358.2172101616362
1772257.884454363,-76.85103366393787
1786212.67094613,-70.83043375065921
1800167.457437896,-76.85103366394111
1814122.243929663,-355.3547254087064
1828077.03042143,-86.60164402748433
1842031.816913196,-80.58104411420527
1855986.603404963,-86.60164402748484
1869941.389896729,-357.4677479883397
1883896.176388496,-81.11709312995379
1897850.962880262,-75.09649321667398
1911805.749372029,-81.1170931299536
1925760.535863796,-358.2446455962282
1939715.322355562,-88.32341986839019
1953670.108847329,-82.30281995511022
1967624.895339095,-88.3234198683901
1981579.681830862,-365.8907540536802
1995534.468322628,-79.80017607952259
2009489.254814395,-73.77957616624295
2023444.041306162,-79.80017607952222
2037398.827797928,-364.5157719743499
2051353.614289695,-87.05135865958424
2065308.400781461,-81.03075874630463
2079263.187273228,-87.05135865958427
2093217.973764994,-354.5117619859196
2107172.760256761,-84.17610116189041
2121127.546748528,-78.15550124861093
2135082.333240294,-84.17610116189073
2149037.119732061,-363.4648032393965
2162991.906223828,-81.83837607162317
2176946.692715594,-75.81777615834345
2190901.479207361,-81.83837607162286
2204856.265699127,-366.2479952828725
2218811.052190894,-80.68341185147987
2232765.83868266,-74.66281193820015
2246720.625174427,-80.68341185147966
2260675.411666194,-366.3620072514676
2274630.19815796,-89.97410781239466
2288584.984649727,-83.95350789911497
2302539.771141493,-89.97410781239498
2316494.55763326,-357.3812006165724
2330449.344125026,-89.73437733429778
2344404.130616793,-83.71377742101811
2358358.91710856,-89.73437733429779
2372313.703600326,-371.4630925505905
2386268.490092093,-89.37019304624307
2400223.276583859,-83.34959313296308
2414178.063075626,-89.37019304624357
2428132.849567392,-360.9622811383748
2442087.636059159,-78.69013509465707
2456042.422550926,-72.66953518137721
2469997.209042692,-78.69013509465708
2483951.995534459,-366.572854687705
2497906.782026225,-78.84154528862096
2511861.568517992,-72.82094537534134
2525816.355009758,-78.84154528862109
2539771.141501525,-355.1016951475598
2553725.927993292,-87.82310562194679
2567680.714485058,-81.80250570866677
2581635.500976825,-87.82310562194579
2595590.287468591,-360.7940673283836
2609545.073960358,-76.06605373473313
2623499.860452124,-70.04545382145361
2637454.646943891,-76.06605373473323
2651409.433435658,-357.170021758572
2665364.219927424,-74.75348562628417
2679319.006419191,-68.73288571300475
2693273.792910957,-74.75348562628517
2707228.579402724,-359.5447030689512
2721183.36589449,-75.4452730159648
2735138.152386257,-69.42467310268529
2749092.938878024,-75.44527301596486
2763047.72536979,-350.9366685769816
2777002.511861557,-63.1473333388993
2790957.298353323,-57.1267334256197
2804912.08484509,-63.14733333889932
2818866.871336856,-362.7631768782225
2832821.657828623,-73.9659476828018
